skills,experience,designation,degree
JDBC,Object-Oriented Programming Concepts,Full,B.E.
API,System Design And Architecture,Stack,B.Tech.
database,JVM Internals,Java,Bachelor of Engineering
Java,Java Build Tools,Developer,MCA
OOP,Web Technologies,JEE,BCA
Object-Oriented Programming,Code Version Control,J2EE,Bachelor of Computer Application
Data Structures,Java Testing Tools,Junior,B Tech
Algorithms,Web Frameworks,Senior,Master of Computer Application
Spring,Application Containers,Jr,Computer Science
Hibernate,Unit Testing,Sr,Computer Science and Engineering
Spring Boot,Java EE Components,Jr.,Computer Science Engineering
Struts,DevOps Tools,Sr.,BTech
JavaFX,Mastering The Principles Of SOLID,Engineer,Information Science and Engineering
Agile Methodologies,Big Data,Programmer,Information Science
Eclipse IDE,Unit Testing,Lower,Computer Engineering
Maven,Jakarta EE,Higher,B.Tech
Git,Servlets,Assistant,BE
Jenkins,Linux OS,Intern,B.E
Multithreading ,Windows Server,,M.E
Concurrency,shell scripting,,M.E
Design ,File systems,,M.Tech.
Patterns,Networking,,M.Tech
Advanced Java,SDLC,,MTech
Apache Tomcat,software development lifecycle,,MBA
Jetty Web Servers,create detailed design documentation,,BBA
Hadoop,Develop multimedia applications,,Diploma
Spark,analysis programming testing and debugging,,
Kafka,Prepare and produce releases of software components,,
RESTful Web Services,Analyze user requirements to define business objectives,,
MVC,Ensure application designs conform with business goals,,
GUI,Identify and resolve any technical issues arising,,
Swing,Develop and test software,,
SWT,Program Architecture,,
AWT,Requirement Gathering,,
JVM,Development ,,
Java Virtual Machine,Testing,,
Ant,Deployment,,
Gradle,Model-View-Controller,,
JSP,Model View Controller,,
Java Server Pages,,,
JavaServer,,,
HTML,,,
Javascript,,,
CSS,,,
Jquery,,,
XML,,,
JSON,,,
JEE,,,
J2EE,,,
J2ME,,,
OOPs,,,
Oracle,,,
